#srcNode   dstNode   bandwidth   metric  delay   queue 
Node59         Node140   1Mbps        1      2ms    250
Node60         Node141   1Mbps        1      2ms    250
Node60         Node61    1Mbps        1      2ms    250
Node60         Node142    1Mbps        1      2ms    250
Node61         Node143   1Mbps        1      2ms    250
Node61         Node144    1Mbps        1      2ms    250
Node63         Node145   1Mbps        1      2ms    250
Node63         Node146   1Mbps        1      2ms    250
Node72         Node81    1Mbps        1      2ms    250
Node79         Node104    1Mbps        1      2ms    250
Node79         Node147    1Mbps        1      2ms    250
Node79         Node148    1Mbps        1      2ms    250
Node79         Node149    1Mbps        1      2ms    250
Node79         Node150    1Mbps        1      2ms    250
Node79         Node151    1Mbps        1      2ms    250
Node79         Node152    1Mbps        1      2ms    250
Node79         Node153    1Mbps        1      2ms    250
Node104         Node153    1Mbps        1      2ms    250
Node134         Node137    1Mbps        1      2ms    250
Node134         Node140    1Mbps        1      2ms    250
Node136         Node137    1Mbps        1      2ms    250
